City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
354,conduaga,8.862,117.4893,79.68,87,42,2.55,PH,1691252688
355,manaure,11.7751,-72.4445,90.99,50,14,21.41,CO,1691252688
356,fabens,31.5023,-106.1586,94.32,23,0,5.23,US,1691252688
357,tura,25.5198,90.2201,75.49,98,100,5.88,IN,1691252689
358,altai,46.3722,96.2583,60.66,41,24,3.24,MN,1691252689
359,lannion,48.75,-3.4167,62.15,73,100,25.32,FR,1691252689
360,sitka,57.0531,-135.33,64.29,77,40,8.05,US,1691252689
361,kapa'a,22.0752,-159.319,79.12,83,75,10.36,US,1691252689
362,vieste,41.8825,16.175,72.0,73,78,5.19,IT,1691252690
363,gunnedah,-30.9833,150.25,48.27,80,58,4.18,AU,1691252690
364,pundong,-7.9522,110.3486,74.03,87,7,4.9,ID,1691252690
365,al kharijah,25.4514,30.5464,104.29,10,1,12.28,EG,1691252690
366,tazacorte,28.629,-17.9293,76.17,78,20,19.57,ES,1691252691
367,takab,36.4009,47.1133,79.72,27,56,5.12,IR,1691252691
368,cacheu,12.2706,-16.1658,95.09,68,98,6.93,GW,1691252691
369,kamina,-8.7386,24.9906,79.66,24,1,6.89,CD,1691252691
370,geraldton,-28.7667,114.6,50.41,93,98,5.75,AU,1691252691
371,tezu,27.9167,96.1667,75.65,99,100,2.64,IN,1691252692
372,campbell river,50.0163,-125.2446,73.78,56,20,10.36,CA,1691252692
373,malmberget,67.1753,20.6549,64.96,37,74,9.22,SE,1691252692
374,kourou,5.1552,-52.6478,89.65,60,7,9.75,GF,1691252692
375,paraiso,9.8383,-83.8656,77.86,77,63,6.38,CR,1691252692
376,urucara,-2.5364,-57.76,98.78,28,0,5.12,BR,1691252693
377,aginskoye,51.1,114.53,62.98,76,100,10.4,RU,1691252693
378,boa vista,2.8197,-60.6733,87.78,62,75,5.75,BR,1691252693
379,fisterra,42.9049,-9.2629,80.74,83,0,19.57,ES,1691252693
380,coari,-4.085,-63.1414,97.02,32,1,4.92,BR,1691252693
381,martos,37.7211,-3.9726,99.48,13,0,5.01,ES,1691252694
382,dryden,49.7833,-92.7503,73.69,68,0,8.05,CA,1691252694
383,vryburg,-26.9566,24.7284,58.24,27,0,5.88,ZA,1691252694
384,saint-francois,46.4154,3.9054,69.24,49,0,11.5,FR,1691252694
385,port pirie,-33.1833,138.0167,44.1,79,0,6.78,AU,1691252581
386,berdigestyakh,62.0989,126.6992,59.49,58,45,1.79,RU,1691252695
387,calama,-22.4667,-68.9333,72.09,6,0,5.75,CL,1691252524
388,inari,68.906,27.0288,53.8,95,100,5.32,FI,1691252695
389,richards bay,-28.783,32.0377,67.42,72,75,12.12,ZA,1691252695
390,cuamba,-14.8031,36.5372,72.37,57,95,5.46,MZ,1691252695
391,mukalla,14.5425,49.1242,92.28,52,4,9.26,YE,1691252696
392,mokhsogollokh,61.4681,128.9203,58.82,59,91,2.68,RU,1691252696
393,bel ombre,-4.6167,55.4167,78.64,78,40,17.27,SC,1691252696
394,sao tome,0.3365,6.7273,80.64,74,75,9.22,ST,1691252696
395,lotoshino,56.2267,35.6414,78.26,65,27,2.82,RU,1691252696
396,kon tum,14.35,108.0,69.96,98,58,2.01,VN,1691252697
397,pimentel,-6.8367,-79.9342,75.49,64,75,10.36,PE,1691252697
398,sumenep,-7.0167,113.8667,79.12,81,38,11.68,ID,1691252694
399,hanceville,34.0607,-86.7675,87.46,59,16,2.06,US,1691252697
400,viqueque,-8.8673,126.3658,72.3,84,73,4.32,TL,1691252698
401,linares,-35.85,-71.6,54.28,68,100,3.49,CL,1691252698
402,saint-pierre,-21.3393,55.4781,71.28,78,0,21.85,RE,1691252698
403,tessaoua,13.7574,7.9874,96.28,35,100,10.07,NE,1691252699
404,yauya,-8.9833,-77.3,57.25,41,12,4.59,PE,1691252699
405,daoukro,7.0591,-3.9631,84.27,61,95,3.96,CI,1691252699
406,faya-largeau,17.9257,19.1043,95.36,39,5,10.71,TD,1691252699
407,fort mcmurray,56.7268,-111.381,63.99,77,0,5.75,CA,1691252699
408,mount gambier,-37.8333,140.7667,45.99,88,94,1.9,AU,1691252682
409,bikenibeu village,1.3673,173.1241,82.36,83,20,4.61,KI,1691252700
410,punta arenas,-53.15,-70.9167,40.12,92,100,25.7,CL,1691252700
411,xilin hot,43.9667,116.0333,61.41,67,51,5.88,CN,1691252700
412,ndele,8.4109,20.6473,76.71,93,98,2.95,CF,1691252701
413,st. john's,47.5649,-52.7093,68.56,74,75,10.36,CA,1691252656
414,taoudenni,22.6783,-3.9836,120.6,5,2,8.41,ML,1691252701
415,muynoq,43.7683,59.0214,85.62,34,64,5.46,UZ,1691252691
416,iskateley,67.6803,53.1512,74.32,63,100,7.99,RU,1691252677
417,hargeysa,9.56,44.065,81.09,37,92,22.32,SO,1691252702
418,tutoia,-2.7619,-42.2744,85.96,59,64,14.25,BR,1691252702
419,wenatchee,47.4235,-120.3103,78.62,49,100,16.11,US,1691252575
420,entebbe,0.0644,32.4469,75.52,64,20,9.22,UG,1691252702
421,wad medani,14.4012,33.5199,88.83,46,82,18.77,SD,1691252703
422,mata-utu,-13.2816,-176.1745,81.66,77,39,12.03,WF,1691252703
423,revda,56.801,59.9303,68.56,74,99,3.44,RU,1691252703
